제목,링크,접수기간,상태,PDF 파일명,PDF 내용
「 로컬 임팩트 창업스쿨 」참여자 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2278&sst=wr_datetime&sod=desc&page=1,2025.07.29 ~ 2025.08.19,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025 금융지원사업 모아보기,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2121&sst=wr_datetime&sod=desc&page=1,2025.01.01 ~ 2025.12.31,접수중,,
띵크어스 파트너스 3기 모집,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2280&sst=wr_datetime&sod=desc&page=1,2025.08.01 ~ 2025.09.30,접수중,,
< 소상공인 육아패키지 시즌2  ⸢소상공인 출생·임신 특별지원금⸥ 지원사업 모집 공고 >,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2279&sst=wr_datetime&sod=desc&page=1,2025.08.01 ~ 2025.08.31,접수중,,
제8회 공공상생연대 공모전 - 민간부문,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2276&sst=wr_datetime&sod=desc&page=1,2025.06.30 ~ 2025.08.22,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
제3회 청년창업 아이디어 경진대회 참여자 모집,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2273&sst=wr_datetime&sod=desc&page=1,2025.07.14 ~ 2025.08.13,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 사회적경제 크라우드펀딩 지원사업 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2272&sst=wr_datetime&sod=desc&page=1,2025.07.07 ~ 2025.10.24,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
「2025년 청년 디지털닥터단」참여 소상공인 모집공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2268&sst=wr_datetime&sod=desc&page=1,2025.06.24 ~ 마감시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
「2025년 소셜벤더 운영사업」참여기업 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2258&sst=wr_datetime&sod=desc&page=2,2025.06.09 ~ 유형별상이,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
찾아가는 고충해결단-정리·심리코칭 참여자 모집공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2255&sst=wr_datetime&sod=desc&page=2,2025.04.08 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
「2025년 소상공인 상품개선 지원사업(BI･캐릭터 디자인 개선･제작)」 소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2248&sst=wr_datetime&sod=desc&page=3,2025.03.21 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
「북구 소상공인 종합컨설팅 지원사업」 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2246&sst=wr_datetime&sod=desc&page=3,2025.05.19 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025 광주 디지털무역종합지원센터(덱스터) 활용사업,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2241&sst=wr_datetime&sod=desc&page=3,2025.01.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025 년 소상공인 상품개선지원사업(상세페이지 제작) 소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2228&sst=wr_datetime&sod=desc&page=4,2025.03.21 ~ 예산소진시까지,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년도 지역·산업맞춤형 일자리 창출 「지역혁신프로젝트」지원사업 통합 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2222&sst=wr_datetime&sod=desc&page=4,2025.04.07 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
가정 밖 청소년의 자립역량강화를 위한 행복자립지원사업 (취업지원금),https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2210&sst=wr_datetime&sod=desc&page=5,2025.01.01 ~ 2025.08.31,접수중,,
2025년 동구 소상공인 맞춤형 경영컨설팅 신청자 모집,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2201&sst=wr_datetime&sod=desc&page=6,2025.02.27 ~ 자금소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년도 소상공인 고효율기기 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2200&sst=wr_datetime&sod=desc&page=6,2025.02.17 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 (예비)사회적기업 대상 멘토링 지원사업(선착순),https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2199&sst=wr_datetime&sod=desc&page=6,2025.03.01 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
온라인쇼핑몰(북소e몰) 입점 소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2197&sst=wr_datetime&sod=desc&page=6,2025.03.07 ~ 모집완료시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년도 중소기업 마케팅 지원사업 통합 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2191&sst=wr_datetime&sod=desc&page=7,2025.03.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년「광주형 청년일자리 공제」참여기업 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2188&sst=wr_datetime&sod=desc&page=7,2025.03.04 ~ 완료시까지,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2024년 연매출 기준 북구 임차 소상공인 카드수수료 지원사업,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2186&sst=wr_datetime&sod=desc&page=7,2025.03.04 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 광주 소상공인주치의센터 컨설팅 참여업체 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2178&sst=wr_datetime&sod=desc&page=7,2025.02.27 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025 소담스퀘어 광주 지원사업 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2176&sst=wr_datetime&sod=desc&page=8,2025.02.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
임산부 직장맘 고용유지 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2174&sst=wr_datetime&sod=desc&page=8,2025.02.25 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 신규채용 인건비 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2168&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인(1인자영업자 포함) 사회보험료 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2167&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 사업비소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 임산부 맘편한 패키지 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2162&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
